rand_beta,rand_w_weights_beta,opt_beta,opt_w_weights
"[-0.09120144798503357, -0.005423049150507808]","[-0.2153631600586801, -0.2711486856211628]","[-0.08735913556108574, 0.02777410300621209]","[-0.2152577652134648, -0.21205123246062058]"
"[-0.09905069318382861, -0.05381370946092906]","[-0.2054346834745045, -0.27892396070955405]","[-0.08249384364875624, -0.01489740192499175]","[-0.1852907275469109, -0.20751616424839758]"
"[-0.08875277527964348, -0.03216106395871056]","[-0.19007997149313816, -0.2335933948348647]","[-0.07355139453816913, -0.016913667883771136]","[-0.18148960280331305, -0.21273235059919252]"
"[-0.10968369660798141, -0.03329582099790641]","[-0.17090499146440064, -0.20179145864869985]","[-0.08885408893681304, -0.013766185153797]","[-0.18347317762908566, -0.20639796221742096]"
"[-0.06790086159241254, -0.05866596058459482]","[-0.20970689770927345, -0.27203147662715]","[-0.06832001370136578, -0.004293953576858673]","[-0.20406491730590773, -0.23101339921340824]"
"[-0.0953252749053809, -0.019063010684004355]","[-0.18931621584780306, -0.265894302133372]","[-0.0858743343385816, -0.01587627307948954]","[-0.19069482800184692, -0.214324127789152]"
"[-0.10292425968005707, -0.025916297065325344]","[-0.16945795062023783, -0.19603239677153064]","[-0.07834663948076356, -0.004969408765156669]","[-0.19796403249120897, -0.23199380668109235]"
"[-0.11452053913072939, -0.026175125888545314]","[-0.18989610298978546, -0.24466948966196841]","[-0.06720630681762015, -0.006955016023184365]","[-0.18966311384647155, -0.2279795732336814]"
"[-0.11014148485342519, -0.033401958355934604]","[-0.20284299009683096, -0.2378816707161654]","[-0.065300784860079, 0.004051134304016504]","[-0.18712179430173825, -0.2120813465702666]"
"[-0.10281888708445121, -0.00012353027142423837]","[-0.19356774252732217, -0.20687802538785546]","[-0.0699466299819113, 0.0016217701437649006]","[-0.1865276132311505, -0.20657076933792376]"
"[-0.1256122077998505, -0.025006849699078085]","[-0.17362022759242515, -0.22103954434312567]","[-0.08359644777907177, -0.020227197478142857]","[-0.18990138824257996, -0.23071511572907027]"
"[-0.07187106767639133, 0.011811183706087051]","[-0.18804339444664095, -0.1922024598896506]","[-0.0778713286533225, -0.015531605642623524]","[-0.18796252579952505, -0.21560257503501412]"
"[-0.114597497626263, -0.02606619769684508]","[-0.16788723691945454, -0.1916427334909132]","[-0.07301018804559928, -0.010604776303969424]","[-0.17778499100483358, -0.20471238051553853]"
"[-0.08706723321871569, 0.0008998922058135037]","[-0.20103064649344157, -0.21366669036031505]","[-0.08957665967921942, -0.006294867037641974]","[-0.19857600218668864, -0.21145451694040393]"
"[-0.07698718914604584, 0.0035081496029473872]","[-0.17203629376761342, -0.2176631962668923]","[-0.06785999574108305, 0.011076978013454123]","[-0.18717307010110734, -0.20025403767370967]"
"[-0.07063463336355594, 0.0]","[-0.15855757905170562, -0.19504166344877422]","[-0.07175562408544155, 0.0034659665380272434]","[-0.1848452496530059, -0.20348790680025686]"
"[-0.10328403835640755, -0.010243195509481731]","[-0.1896302705666284, -0.19494729326090857]","[-0.08131141884599881, 0.0033980574032023312]","[-0.1959583519682282, -0.2026877011182008]"
"[-0.05009695478055735, -0.007440816743119518]","[-0.1561194054799712, -0.22890009236922415]","[-0.0661887354953245, 0.006094501127743509]","[-0.18305199650539095, -0.2062315215537663]"
"[-0.10295636599192316, -0.04082322281486838]","[-0.14040259058999832, -0.18374728616729932]","[-0.0636650130217979, 0.0002574680709901409]","[-0.17397287219286145, -0.1985489693758413]"
"[-0.10663339630907907, -0.04707017172761371]","[-0.16185998454145073, -0.19655300763807443]","[-0.07365697419646658, 0.00491757802019315]","[-0.19741228267669098, -0.2088717207752709]"
"[-0.1043343786841486, -0.02246697690017939]","[-0.16844893701940505, -0.19648377544938259]","[-0.07220934127284752, -0.006180171448560803]","[-0.18074652183763945, -0.2102425947098444]"
"[-0.08310267747072822, -0.03320067466756373]","[-0.16268177494336933, -0.2222515175961879]","[-0.06938718391806725, -0.005697452121793183]","[-0.18088159354565594, -0.21156224195316173]"
"[-0.0660892087139637, 0.0017266804846277778]","[-0.15893380646626865, -0.19057986794159745]","[-0.06680137286746222, 0.004920200757398752]","[-0.17036581460253902, -0.20278591464919413]"
"[-0.10593306428487517, -0.0064935049773103565]","[-0.2006698847652181, -0.28106619823898005]","[-0.07703258066335879, 0.005321236212924997]","[-0.20208859186072145, -0.23056360457489514]"
"[-0.0616127052407331, -0.06093080521666572]","[-0.09130829423338223, -0.16881853688384535]","[-0.06118343793757812, 0.0038884959743797874]","[-0.19556694157493706, -0.2318025870536711]"
"[-0.10282023626168005, -0.0001216360252963765]","[-0.16517226248925376, -0.1508761042340011]","[-0.08521518866074314, 0.007939725328911035]","[-0.21906425561723022, -0.23647401381203903]"
"[-0.0860758136620418, -0.034747383558509634]","[-0.16303077474845454, -0.19631733494650463]","[-0.08009460096380287, 0.0034525506185627726]","[-0.2030960792806154, -0.21547843521614912]"
"[-0.0695755731079015, -0.04194467749377101]","[-0.2440864673475071, -0.32550987649866875]","[-0.09329800211948377, -0.03809913251297904]","[-0.2080850990340192, -0.25132568000610933]"
"[-0.10452081693466546, -0.02148217202092377]","[-0.16467991520173547, -0.1819628976870771]","[-0.11163516074956922, -0.008589578507147031]","[-0.19193620746342493, -0.19621982146201356]"
"[-0.10069551984788057, -0.06071606806994529]","[-0.18753485456497876, -0.23877895907619642]","[-0.0710040580938528, 0.003618278014066929]","[-0.19808511086106337, -0.23165874299024117]"
"[-0.09551133552064113, -0.019467274310091518]","[-0.15386252393860408, -0.20559849868124055]","[-0.08066697214372766, -0.003154340642489864]","[-0.19122990412473972, -0.21430076141090462]"
"[-0.06230593412235762, -0.01691766788353572]","[-0.16725484894905315, -0.22479001230458376]","[-0.06865086931096284, -0.0021933360692639684]","[-0.17688909647038598, -0.20858427362011425]"
"[-0.05055919702992778, -0.0028967937391527468]","[-0.1224462569135317, -0.1780493940833059]","[-0.06689122789097322, 0.006118174932402091]","[-0.19013035775644108, -0.21128164508440572]"
"[-0.11123215444827275, -0.009196441591201412]","[-0.17920550679404465, -0.19553439143066043]","[-0.08459920223793505, 0.018499398283384018]","[-0.21081062540000373, -0.21264001462526863]"
"[-0.09873071305400373, -0.01945453257243122]","[-0.15445142758866356, -0.19245679506238283]","[-0.06636745148409581, -0.006033260205423812]","[-0.1688540288858577, -0.20529048085189458]"
"[-0.0783974459026908, -0.006044778973221133]","[-0.1337442072430664, -0.18296292060958458]","[-0.06795807000839188, 0.012377776258760832]","[-0.17089434864540382, -0.19580778702588064]"
"[-0.12111440123334966, -0.035419436200119676]","[-0.16724792334514302, -0.1894196584600788]","[-0.09594238031816006, -0.03403721309269559]","[-0.1915846737075947, -0.20875658399636282]"
"[-0.07433386930081255, -0.0006200857098677906]","[-0.1571485094987575, -0.1861754012654381]","[-0.06937666554279981, -0.007780690269657599]","[-0.17781797238659375, -0.21044167692394314]"
"[-0.09842817206146326, -0.019902796173866703]","[-0.17622249302492873, -0.19167624608003672]","[-0.06992731865990498, 0.009436751536717731]","[-0.20840514606885177, -0.23436276484111238]"
"[-0.10381566024730642, -0.05830348677084074]","[-0.19317799486190154, -0.23293541735504858]","[-0.07324232221474317, 0.0012482242312910298]","[-0.19571894697881498, -0.23083882309804582]"
"[-0.10351407115716563, -0.013943466058548949]","[-0.14847083041829431, -0.18365657534263988]","[-0.09129847005276108, -0.031480523225992374]","[-0.18353165238255523, -0.2128457552296281]"
"[-0.06518317993258062, 0.003211353835568169]","[-0.17016704801055277, -0.20166137618462654]","[-0.06892760117558913, -0.006981271246310662]","[-0.1910114515959815, -0.21488495560715612]"
"[-0.06627975408044712, 0.0027188084367039205]","[-0.14359382109327168, -0.17935379942011265]","[-0.08059221878578073, 0.0031454421300174482]","[-0.1728884947134715, -0.1976880804309237]"
"[-0.08688492061007949, 0.0006933429837071321]","[-0.1946262303773043, -0.26590303875240784]","[-0.06871215125336601, 0.0039783881436482515]","[-0.17690664099913625, -0.20187850581869857]"
"[-0.07937635475506874, -0.06914609553847349]","[-0.13355550538039185, -0.1934988235474044]","[-0.0645370371665828, -0.007729413222584286]","[-0.1832168959062123, -0.21141446211715756]"
"[-0.09966084943604722, -0.04138344855795178]","[-0.15333333608858038, -0.19506887637725526]","[-0.09623382594654414, -0.03774060042808539]","[-0.1792516880838493, -0.21376407309447876]"
"[-0.10599763942916703, -0.006429070967130693]","[-0.17532684488317657, -0.18836919506608005]","[-0.07242912576118785, -0.00821069869569675]","[-0.17144353428349546, -0.19253684911935232]"
"[-0.0883921241724113, -0.027928945179003885]","[-0.15282961846363147, -0.1923711080062268]","[-0.06670730753192694, 0.025026791383509987]","[-0.18759920143748682, -0.20421915114543596]"
"[-0.07632500495966527, -0.010084042348534364]","[-0.13560102749550862, -0.1831024368015067]","[-0.07867214017326336, 0.0031596869040488923]","[-0.19226866277907045, -0.21548129214932862]"
"[-0.09027512491933157, 0.01653003198983684]","[-0.18257243730794073, -0.23206837354326834]","[-0.06915275723871078, 0.004983211214467182]","[-0.19593041307096856, -0.23436815872448857]"
"[-0.08508838905294039, -0.03535739528831148]","[-0.14720183098920783, -0.19515207325345646]","[-0.06942808839609348, -0.0084656629722512]","[-0.18419127018332385, -0.21668118161177605]"
"[-0.09845525532403197, -0.007900460083401707]","[-0.17400775459707743, -0.19503207917829235]","[-0.0754686533284756, -0.004931715639921446]","[-0.17637084126880884, -0.2039016961621335]"
"[-0.11421754860815711, -0.05596912990073296]","[-0.16832346150402183, -0.19893116074360523]","[-0.10165122728136058, -0.03185743919750097]","[-0.20112144832314585, -0.23140948374513973]"
"[-0.1005715301584173, -0.041541161871727135]","[-0.185825329465507, -0.20205440028762156]","[-0.07200385934817245, -0.00993281082527898]","[-0.16859319737773823, -0.19985257152945324]"
"[-0.11357161727426124, -0.05420251108624584]","[-0.16705302063545288, -0.19539352231634266]","[-0.10923870967730756, -0.04643029327377862]","[-0.17961793447622726, -0.2000788415013685]"
"[-0.09036258867965719, -0.030228709182997707]","[-0.16138662152173217, -0.19678564288656536]","[-0.08276320432070951, -0.001965812571138213]","[-0.19824402801193913, -0.20974357525556994]"
"[-0.07910814123035359, -0.013171401866032821]","[-0.1609772759794532, -0.1967190649239818]","[-0.06757073635160893, -0.004956659119565863]","[-0.1860022753353292, -0.21100238041955366]"
"[-0.08749779655549962, -0.02806145299329635]","[-0.17188896815156973, -0.2011479358161148]","[-0.07029275118553271, -0.00830731637457195]","[-0.18037896673956869, -0.2040351239616236]"
"[-0.08525676215896295, -0.015544695218450772]","[-0.14894250067759926, -0.18463891384739156]","[-0.06131928584747219, -0.0034961830531870597]","[-0.1730619525171984, -0.2027530642754777]"
"[-0.1263293438558019, -0.0397325108467999]","[-0.18270517735599837, -0.20213087099497024]","[-0.0827087081458392, -0.021855186170925772]","[-0.18269290445516279, -0.2131889893329123]"
"[-0.11081674674089324, -0.05177985961018796]","[-0.1672535680727053, -0.19253379820534308]","[-0.08829288067704681, -0.005251474973555975]","[-0.1952964786625925, -0.20206651425870592]"
"[-0.07997530296734404, -0.019320951683270936]","[-0.1597870716969289, -0.22088052636379857]","[-0.07065824665512589, 0.004261019914311384]","[-0.18298964257186828, -0.2037483533236673]"
"[-0.11423161957488594, -0.02746437680873002]","[-0.20357117886554088, -0.23715021125154745]","[-0.07864800578410397, 0.0031428169338933738]","[-0.19882735443967037, -0.20954763807381904]"
"[-0.10268520938329014, -0.012210617235376421]","[-0.21153624847418323, -0.23649429678915762]","[-0.07755014993041111, 0.00534370058003086]","[-0.21971525908003842, -0.23689919095752549]"
"[-0.08790651951680403, -0.010940478215308637]","[-0.17563331369171106, -0.19391864805645828]","[-0.07004827882483299, 0.0013566829925183192]","[-0.1728582889214413, -0.1978217267090532]"
"[-0.09136829720696141, 0.005239421332555933]","[-0.17072732046239658, -0.20793404657392076]","[-0.07045714330911254, 0.004819530699073236]","[-0.21777604553037794, -0.23443492834299634]"
"[-0.09015790971537213, -0.025855920191877404]","[-0.15112338961941618, -0.18885100612217495]","[-0.07111778647715919, 0.0034807954685313167]","[-0.18680264542745745, -0.20622914919153934]"
"[-0.05415689170566622, -0.032209958972760126]","[-0.17695107645367444, -0.2596622494659934]","[-0.06961897724032501, -0.005683572324947213]","[-0.20014263150503342, -0.2314002228028726]"
"[-0.11307078524614056, -0.025130059230132996]","[-0.18904022445993018, -0.1969984553049122]","[-0.0755220323767694, 0.0053715559089079915]","[-0.19548960185210798, -0.20457783110145522]"
"[-0.08831059238619458, -0.024493942960691767]","[-0.17537252480678203, -0.20518232608621872]","[-0.06899886881316587, 0.004226539647069328]","[-0.18645317744305795, -0.21067270969250665]"
"[-0.09866564038565888, -0.007305015833931618]","[-0.204847905256295, -0.23795536874890363]","[-0.08479257354547863, -0.005348328183003565]","[-0.21395386183653975, -0.23750258659591425]"
"[-0.09186269414960083, -0.02840294583235873]","[-0.16995139178818786, -0.2041326518986753]","[-0.05914094905483877, 0.019677272237877377]","[-0.1905587917686478, -0.21639653954974936]"
"[-0.09854411583769992, -0.007347946115096278]","[-0.1770151416473345, -0.22797582903961813]","[-0.07434637709662852, -0.011312453531398696]","[-0.1838746826798743, -0.21277281255368924]"
"[-0.1292235278493995, -0.02369746304421568]","[-0.22272382228570983, -0.2130906525012434]","[-0.0901830799428072, -0.010840493426094352]","[-0.18919823292741308, -0.2026743622535634]"
"[-0.06651740600144224, -0.020063942092070318]","[-0.1282989132824972, -0.17906895239362725]","[-0.07901175515456413, -0.0025862199332348707]","[-0.18912969826863957, -0.21268510797333248]"
"[-0.09683204653946623, -0.017324931302573766]","[-0.1704337446653204, -0.19373721649921496]","[-0.06837829814496695, 0.007147001252279074]","[-0.1815218170403294, -0.19930385981562948]"
"[-0.06994334605094196, 0.007209915043558723]","[-0.17102716286600614, -0.19079820099781525]","[-0.08633583796424894, 0.0012164526865560247]","[-0.1990908488729928, -0.20347345070369663]"
"[-0.07821186641303758, 0.01356449971744653]","[-0.1541994912373495, -0.18765902948444144]","[-0.08156176409561026, -0.013546816078825318]","[-0.2022150666251675, -0.2311279932608035]"
"[-0.08749756061338151, -0.03594775394299589]","[-0.15440303633032393, -0.19374226356254715]","[-0.07860221687005522, 0.003161632584504907]","[-0.1859762327661621, -0.2036358582893789]"
"[-0.10148211882113496, -0.011733221682609474]","[-0.15696552407821004, -0.21527757865493108]","[-0.07977767533528381, -0.0012328159802521682]","[-0.1932065933088825, -0.2082456139682201]"
"[-0.06867773501374423, 0.013966998528669464]","[-0.18066493796196229, -0.22958101758942565]","[-0.07791921277579264, 0.02237420698643122]","[-0.20416594195214313, -0.21375681719285075]"
"[-0.10566447702150271, -0.0115203675308283]","[-0.243274866100284, -0.3018252472179454]","[-0.09685496890381269, 0.014743242008506536]","[-0.2283146077215429, -0.23811286513726554]"
"[-0.1088980874871544, -0.06551829559784551]","[-0.16133488655846723, -0.19792829609814805]","[-0.09141974971585487, -0.02034152549488634]","[-0.19792763394980395, -0.2169156628016361]"
"[-0.09415856185327294, -0.015519236822253726]","[-0.15538232731033144, -0.2185526555016077]","[-0.07563774436806986, 0.005401264387169653]","[-0.2052947318181962, -0.23525662219188104]"
"[-0.08924159308016485, -0.028612847389557404]","[-0.18024327060311485, -0.22606663780779274]","[-0.06941211018821253, -0.0040679358374331575]","[-0.17759408598411772, -0.22239101089746566]"
"[-0.08428985974579115, -0.03365057708851545]","[-0.15414522141003226, -0.2155262619777603]","[-0.06578427256363598, 0.0013442769335459321]","[-0.17165490139422387, -0.19729035554297036]"
"[-0.07723957578969068, 0.0037500445556453692]","[-0.19270189242147948, -0.24468147757539735]","[-0.08019590643871509, -0.002951533348977977]","[-0.18459622628367603, -0.20681843904393635]"
"[-0.09817025104946155, -0.01613539038363745]","[-0.12919753651229804, -0.14186027045473715]","[-0.08679249218655345, -0.019799373993751035]","[-0.17946783635376193, -0.2019849153395333]"
"[-0.09462034123010761, -0.047438927164704506]","[-0.18996562209760837, -0.23484587550093206]","[-0.07663704583799254, -0.0035093119407072263]","[-0.19007809364796663, -0.2147828937410083]"
"[-0.12546558579925932, 0.013709251303937922]","[-0.1779219822279531, -0.20057065077609026]","[-0.06804727325223482, -0.006128571658519592]","[-0.17901326228598113, -0.20650180593345524]"
"[-0.09244462453540597, -0.018260216912142746]","[-0.1605349298476704, -0.19469152081304741]","[-0.08371458081061967, 0.0]","[-0.1918069656190577, -0.211638236307266]"
"[-0.061204146493757015, -0.0026826416221147485]","[-0.13103236009595187, -0.18038386790952413]","[-0.06468812325076856, 0.01010482421969973]","[-0.17404491043031067, -0.20049603766483115]"
"[-0.09954929435421381, -0.019083282538536504]","[-0.16743979483953733, -0.21865185842352003]","[-0.0831798879388549, -0.007606073280528315]","[-0.19727165777537875, -0.22705235618119765]"
"[-0.09809930015974089, -0.019987161912316934]","[-0.16508839483864637, -0.1891337554903441]","[-0.07878932046691886, -0.002961502542836]","[-0.18685710162708727, -0.20698134053631934]"
"[-0.09717761994356953, 0.005200138780091167]","[-0.17230226698803158, -0.20522598857954363]","[-0.0699520518220316, 0.004114440048208617]","[-0.1621437002745915, -0.19844830039310934]"
"[-0.07570572642850565, -0.05147947881287288]","[-0.1973391068079635, -0.2886080853970978]","[-0.06792868891933164, 0.0]","[-0.18135031399970017, -0.20772409362400623]"
"[-0.11367824727754734, -0.029736656561103796]","[-0.1783298768870717, -0.20281076349796484]","[-0.07987354647628986, -0.008339741753935903]","[-0.18272163169190675, -0.20315099017836877]"
"[-0.07378232180050243, -0.0003973431221042501]","[-0.18670969678906643, -0.23491443540097298]","[-0.07036214591666906, -0.0005911173359239171]","[-0.18734666072402623, -0.21503352855318925]"
"[-0.07748399959547952, 0.0032814329038683534]","[-0.11782253725064958, -0.1388209202359676]","[-0.08076684308798525, -0.006009780098024688]","[-0.17848876590987037, -0.19661322847402418]"
"[-0.08402471008616519, -0.03356479428171746]","[-0.15573672267323155, -0.19271961684414643]","[-0.07859492335598717, -0.0019394072498661297]","[-0.20269396176828555, -0.23068556356436648]"
"[-0.12627401264329158, -0.02314211877401985]","[-0.2081589529713015, -0.21145753338405646]","[-0.08222057853381559, -0.01359711378347564]","[-0.18842895765048603, -0.20763150470055317]"
"[-0.10539835993801888, -0.01182529081600919]","[-0.17673836992344208, -0.19991952480502928]","[-0.07174778965487322, 0.003426396490172438]","[-0.178905121542606, -0.19851350629684145]"
